2026-03-22 07:01:51,486 - HYBRID ALERT | type=SYN_FLOOD | iso_score=-0.0813 | lstm_conf=warming | pps=16.96 | syn_ratio=0.9412 | udp_ratio=0.0 | icmp_ratio=0.0
2026-03-22 07:02:07,538 - HYBRID ALERT | type=SYN_FLOOD | iso_score=-0.0857 | lstm_conf=warming | pps=119.46 | syn_ratio=0.5641 | udp_ratio=0.0 | icmp_ratio=0.0
2026-03-22 07:02:14,596 - HYBRID ALERT | type=UNKNOWN | iso_score=-0.0822 | lstm_conf=0.998 | pps=49.69 | syn_ratio=0.5 | udp_ratio=0.0 | icmp_ratio=0.0
2026-03-22 07:02:18,535 - HYBRID ALERT | type=UNKNOWN | iso_score=-0.0578 | lstm_conf=0.999 | pps=8.1 | syn_ratio=0.3864 | udp_ratio=0.0 | icmp_ratio=0.0
2026-03-22 07:02:51,207 - HYBRID ALERT | type=UNKNOWN | iso_score=-0.0183 | lstm_conf=1.000 | pps=0.49 | syn_ratio=0.0909 | udp_ratio=0.0833 | icmp_ratio=0.0
2026-03-22 07:02:55,529 - HYBRID ALERT | type=UDP_FLOOD | iso_score=-0.1313 | lstm_conf=1.000 | pps=23.84 | syn_ratio=0.0 | udp_ratio=0.95 | icmp_ratio=0.05
2026-03-22 07:03:01,205 - HYBRID ALERT | type=UDP_FLOOD | iso_score=-0.1248 | lstm_conf=1.000 | pps=47.82 | syn_ratio=0.0 | udp_ratio=1.0 | icmp_ratio=0.0
2026-03-22 07:03:07,602 - HYBRID ALERT | type=UDP_FLOOD | iso_score=-0.1261 | lstm_conf=1.000 | pps=53.33 | syn_ratio=0.0 | udp_ratio=1.0 | icmp_ratio=0.0
2026-03-22 07:03:13,142 - HYBRID ALERT | type=UDP_FLOOD | iso_score=-0.1258 | lstm_conf=1.000 | pps=33.43 | syn_ratio=1.0 | udp_ratio=0.9958 | icmp_ratio=0.0
2026-03-22 07:03:48,506 - HYBRID ALERT | type=UNKNOWN | iso_score=-0.0139 | lstm_conf=0.999 | pps=0.86 | syn_ratio=0.1304 | udp_ratio=0.0 | icmp_ratio=0.0417
2026-03-22 07:03:53,585 - HYBRID ALERT | type=ICMP_FLOOD | iso_score=-0.0694 | lstm_conf=0.998 | pps=10.8 | syn_ratio=0.0 | udp_ratio=0.0 | icmp_ratio=1.0
