pps,bps,avg_pkt_size,total_packets,total_bytes,tcp_ratio,udp_ratio,icmp_ratio,syn_ratio,synack_ratio,rst_ratio,syn_count,ack_count,rst_count,fin_count,unique_src_ips,top_ip_ratio,unique_dst_ports,unique_src_ports,iat_mean,iat_std,window_duration,label
0.05,2.89,60.0,1,60,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,1,1.0,1,1,0.0,0.0,20.79,attack
22.01,1298.5,59.0,112,6608,1.0,0.0,0.0,1.0,1.0,0.0,112,56,0,0,2,0.5,57,57,1.3e-05,1.7e-05,5.09,attack
19.8,1185.76,59.9,99,5930,1.0,0.0,0.0,0.7273,0.7273,0.2727,72,5,27,0,2,0.9495,6,95,0.046572,0.037623,5.0,attack
23.9,1429.85,59.83,121,7240,1.0,0.0,0.0,0.8099,0.8099,0.1901,98,10,23,0,2,0.9174,11,112,0.058303,0.106008,5.06,attack
28.27,1687.54,59.69,142,8476,1.0,0.0,0.0,0.7394,0.7394,0.2606,105,22,37,0,2,0.8451,23,121,0.047871,0.07873,5.02,attack
26.36,1580.08,59.94,132,7912,1.0,0.0,0.0,0.803,0.803,0.197,106,4,26,0,2,0.9697,5,128,0.039725,0.056466,5.01,attack
26.09,1558.61,59.74,131,7826,1.0,0.0,0.0,0.7557,0.7557,0.2443,99,17,32,0,2,0.8702,18,115,0.04199,0.075877,5.02,attack
22.15,1325.87,59.86,111,6644,1.0,0.0,0.0,0.7117,0.7117,0.2883,79,8,32,0,2,0.9279,9,104,0.045617,0.049144,5.01,attack
33.74,2010.66,59.6,169,10072,1.0,0.0,0.0,0.8166,0.8166,0.1834,138,34,31,0,2,0.7988,35,136,0.041712,0.042787,5.01,attack
26.43,1581.3,59.83,133,7958,1.0,0.0,0.0,0.8195,0.8195,0.1805,109,11,24,0,2,0.9173,12,123,0.034888,0.064991,5.03,attack
26.75,1598.76,59.76,135,8068,1.0,0.0,0.0,0.7556,0.7556,0.2444,102,16,33,0,2,0.8815,17,120,0.039201,0.103788,5.05,attack
25.1,1502.71,59.86,126,7542,1.0,0.0,0.0,0.6667,0.6667,0.3333,84,9,42,0,2,0.9286,10,118,0.04736,0.1006,5.02,attack
21.24,1267.49,59.66,107,6384,1.0,0.0,0.0,0.7757,0.7757,0.2243,83,18,24,0,2,0.8318,19,90,0.041344,0.049107,5.04,attack
27.58,1646.32,59.7,138,8238,1.0,0.0,0.0,0.7536,0.7536,0.2464,104,21,34,0,2,0.8478,22,118,0.050962,0.069769,5.0,attack
35.39,2118.68,59.86,177,10596,1.0,0.0,0.0,0.7345,0.7345,0.2655,130,12,47,0,2,0.9322,13,166,0.03567,0.042938,5.0,attack
28.35,1696.61,59.85,144,8618,1.0,0.0,0.0,0.7292,0.7292,0.2708,105,11,39,0,2,0.9236,12,134,0.037838,0.083354,5.08,attack
24.17,1441.98,59.65,121,7218,1.0,0.0,0.0,0.843,0.843,0.157,102,21,19,0,2,0.8264,22,101,0.032522,0.042286,5.01,attack
24.53,1470.05,59.93,123,7372,1.0,0.0,0.0,0.7073,0.7073,0.2927,87,4,36,0,2,0.9675,5,120,0.050616,0.061144,5.01,attack
23.21,1389.59,59.86,118,7064,1.0,0.0,0.0,0.8136,0.8136,0.1864,96,8,22,0,2,0.9322,9,111,0.050963,0.068676,5.08,attack
28.51,1689.82,59.26,144,8534,1.0,0.0,0.0,0.8542,0.8542,0.1458,123,53,21,0,2,0.6319,54,92,0.034581,0.049464,5.05,attack
25.08,1499.09,59.78,126,7532,1.0,0.0,0.0,0.8571,0.8571,0.1429,108,14,18,0,2,0.8889,15,113,0.043629,0.051077,5.02,attack
26.69,1597.55,59.87,135,8082,1.0,0.0,0.0,0.7926,0.7926,0.2074,107,9,28,0,2,0.9333,10,127,0.040493,0.056549,5.06,attack
28.86,1727.12,59.83,145,8676,1.0,0.0,0.0,0.8069,0.8069,0.1931,117,12,28,0,2,0.9172,13,133,0.045452,0.079015,5.02,attack
17.95,1069.91,59.6,90,5364,1.0,0.0,0.0,0.8,0.8,0.2,72,18,18,0,2,0.8,19,73,0.030325,0.03296,5.01,attack
24.15,1442.22,59.72,121,7226,1.0,0.0,0.0,0.8512,0.8512,0.1488,103,17,18,0,2,0.8595,18,104,0.059836,0.092624,5.01,attack
27.04,1616.66,59.79,136,8132,1.0,0.0,0.0,0.8603,0.8603,0.1397,117,14,19,0,2,0.8971,15,123,0.04627,0.056603,5.03,attack
29.08,1738.79,59.79,146,8730,1.0,0.0,0.0,0.8082,0.8082,0.1918,118,15,28,0,2,0.8973,16,132,0.035259,0.053893,5.02,attack
25.73,1535.22,59.67,129,7698,1.0,0.0,0.0,0.7752,0.7752,0.2248,100,21,29,0,2,0.8372,22,109,0.04541,0.056401,5.01,attack
34.43,2054.97,59.69,174,10386,1.0,0.0,0.0,0.7011,0.7011,0.2989,122,27,52,0,2,0.8448,28,148,0.035958,0.045533,5.05,attack
27.28,1629.69,59.74,137,8184,1.0,0.0,0.0,0.7591,0.7591,0.2409,104,18,33,0,2,0.8686,19,120,0.032332,0.058489,5.02,attack
22.29,1335.04,59.89,113,6768,1.0,0.0,0.0,0.823,0.823,0.177,93,6,20,0,2,0.9469,7,108,0.042227,0.055401,5.07,attack
20.97,1253.26,59.77,106,6336,1.0,0.0,0.0,0.8585,0.8585,0.1415,91,12,15,0,2,0.8868,13,95,0.043781,0.043488,5.06,attack
22.19,1325.62,59.75,112,6692,1.0,0.0,0.0,0.7946,0.7946,0.2054,89,14,23,0,2,0.875,15,99,0.04956,0.046942,5.05,attack
29.97,1787.49,59.63,153,9124,1.0,0.0,0.0,0.817,0.817,0.183,125,28,28,0,2,0.817,29,126,0.043797,0.045891,5.1,attack
20.97,1250.5,59.64,106,6322,1.0,0.0,0.0,0.8679,0.8679,0.1321,92,19,14,0,2,0.8208,20,88,0.031607,0.039044,5.06,attack
