pps,bps,avg_pkt_size,total_packets,total_bytes,tcp_ratio,udp_ratio,icmp_ratio,syn_ratio,synack_ratio,rst_ratio,syn_count,ack_count,rst_count,fin_count,unique_src_ips,top_ip_ratio,unique_dst_ports,unique_src_ports,iat_mean,iat_std,window_duration,label
0.11,7.91,74.0,1,74,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,1,1.0,1,1,0.0,0.0,9.36,http_flood
424.1,384688.18,907.06,2125,1927510,1.0,0.0,0.0,0.2165,1.0,0.0,460,1868,0,255,2,0.5176,487,513,0.002286,0.011191,5.01,http_flood
330.15,309283.94,936.81,1653,1548543,1.0,0.0,0.0,0.2196,1.0,0.0,363,1426,0,261,2,0.5257,413,451,0.005337,0.095044,5.01,http_flood
419.22,338695.25,807.92,2110,1704717,1.0,0.0,0.0,0.2517,1.0,0.0,531,1783,0,324,2,0.5346,524,574,0.003765,0.065111,5.03,http_flood
265.77,304376.34,1145.28,1334,1527801,1.0,0.0,0.0,0.1882,1.0,0.0,251,1179,0,198,2,0.524,358,433,0.006409,0.099557,5.02,http_flood
399.48,364691.01,912.91,2025,1848633,1.0,0.0,0.0,0.2415,1.0,0.0,489,1737,0,290,2,0.5279,507,550,0.003478,0.047746,5.07,http_flood
356.34,326375.85,915.9,1786,1635806,1.0,0.0,0.0,0.2223,1.0,0.0,397,1546,0,297,2,0.5196,439,467,0.004565,0.075773,5.01,http_flood
289.31,279981.21,967.74,1447,1400322,1.0,0.0,0.0,0.2205,1.0,0.0,319,1233,0,198,2,0.5619,354,448,0.005697,0.094644,5.0,http_flood
354.65,295769.03,833.97,1790,1492811,1.0,0.0,0.0,0.2425,1.0,0.0,434,1535,0,249,2,0.5464,438,476,0.004449,0.06728,5.05,http_flood
366.57,349815.56,954.3,1833,1749239,1.0,0.0,0.0,0.2406,1.0,0.0,441,1551,0,252,2,0.5548,419,502,0.004328,0.068983,5.0,http_flood
301.73,291203.09,965.12,1528,1474701,1.0,0.0,0.0,0.2258,1.0,0.0,345,1302,0,215,2,0.538,359,433,0.004809,0.070581,5.06,http_flood
380.36,395693.95,1040.3,1914,1991140,1.0,0.0,0.0,0.221,1.0,0.0,423,1658,0,274,2,0.5235,490,541,0.004043,0.062798,5.03,http_flood
390.77,349802.57,895.16,1969,1762561,1.0,0.0,0.0,0.2138,1.0,0.0,421,1703,0,272,2,0.5399,449,518,0.003986,0.068372,5.04,http_flood
436.79,420369.3,962.4,2184,2101882,1.0,0.0,0.0,0.2248,1.0,0.0,491,1888,0,281,2,0.5353,503,578,0.003548,0.059646,5.0,http_flood
412.59,343698.3,833.03,2063,1718537,1.0,0.0,0.0,0.2317,0.9855,0.0145,478,1758,30,292,2,0.5356,484,506,0.003878,0.068171,5.0,http_flood
118.74,56113.96,472.58,766,361996,1.0,0.0,0.0,0.0601,0.9634,0.0366,46,715,28,33,2,0.8029,521,65,0.012172,0.189542,6.45,http_flood
