pps,bps,avg_pkt_size,total_packets,total_bytes,tcp_ratio,udp_ratio,icmp_ratio,syn_ratio,synack_ratio,rst_ratio,syn_count,ack_count,rst_count,fin_count,unique_src_ips,top_ip_ratio,unique_dst_ports,unique_src_ports,iat_mean,iat_std,window_duration,label
0.03,2.06,74.0,1,74,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,1,1.0,1,1,0.0,0.0,35.86,normal
3.16,2381.99,754.62,16,12074,1.0,0.0,0.0,0.125,1.0,0.0,2,15,0,2,2,0.5625,2,3,0.338145,1.259373,5.07,normal
2.79,2381.3,853.0,14,11942,1.0,0.0,0.0,0.1429,1.0,0.0,2,13,0,2,2,0.5714,2,3,0.387422,1.33639,5.01,normal
2.79,2443.39,874.29,14,12240,0.8571,0.1429,0.0,0.1667,1.0,0.0,2,11,0,2,2,0.6429,3,4,0.38635,0.971092,5.01,normal
2.79,2442.07,874.29,14,12240,0.8571,0.1429,0.0,0.1667,1.0,0.0,2,11,0,2,2,0.6429,3,4,0.386355,0.925983,5.01,normal
2.79,2378.36,853.0,14,11942,1.0,0.0,0.0,0.1429,1.0,0.0,2,13,0,2,2,0.5714,2,3,0.387749,1.340373,5.02,normal
3.8,2471.13,650.32,19,12356,1.0,0.0,0.0,0.1579,1.0,0.0,3,18,0,2,2,0.5789,3,3,0.279301,1.148468,5.0,normal
1.8,2302.83,1280.89,9,11528,1.0,0.0,0.0,0.1111,1.0,0.0,1,8,0,2,2,0.5556,2,3,0.627494,1.659456,5.01,normal
2.4,2361.57,984.17,12,11810,1.0,0.0,0.0,0.1667,1.0,0.0,2,11,0,2,2,0.5833,2,3,0.456543,1.44188,5.0,normal
2.4,2361.28,984.17,12,11810,1.0,0.0,0.0,0.1667,1.0,0.0,2,11,0,2,2,0.5833,2,3,0.456852,1.442533,5.0,normal
2.4,2359.71,984.17,24,23620,1.0,0.0,0.0,0.1667,1.0,0.0,4,22,0,4,2,0.5833,3,4,0.436574,1.412614,10.01,normal
3.19,2404.89,754.62,16,12074,1.0,0.0,0.0,0.125,1.0,0.0,2,15,0,2,2,0.5625,2,3,0.336036,1.255152,5.02,normal
2.39,2353.46,984.17,12,11810,1.0,0.0,0.0,0.1667,1.0,0.0,2,11,0,2,2,0.5833,2,3,0.457974,1.44371,5.02,normal
2.39,2354.79,984.17,12,11810,1.0,0.0,0.0,0.1667,1.0,0.0,2,11,0,2,2,0.5833,2,3,0.457288,1.444601,5.02,normal
