pps,bps,avg_pkt_size,total_packets,total_bytes,tcp_ratio,udp_ratio,icmp_ratio,syn_ratio,synack_ratio,rst_ratio,syn_count,ack_count,rst_count,fin_count,unique_src_ips,top_ip_ratio,unique_dst_ports,unique_src_ports,iat_mean,iat_std,window_duration,label
0.09,6.91,74.0,1,74,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,1,1.0,1,1,0.0,0.0,10.7,slowloris
30.18,2956.15,97.95,151,14790,1.0,0.0,0.0,0.2848,1.0,0.0,43,130,0,0,2,0.5695,24,23,0.034365,0.419011,5.0,slowloris
59.99,13508.36,225.17,300,67552,1.0,0.0,0.0,0.0,1.0,0.0,0,300,0,92,2,0.62,96,104,0.016989,0.234276,5.0,slowloris
36.06,5600.14,155.32,347,53895,1.0,0.0,0.0,0.0,0.8386,0.1614,0,291,56,55,2,0.5043,118,146,0.028731,0.341198,9.62,slowloris
46.4,10287.81,221.72,232,51440,1.0,0.0,0.0,0.0,1.0,0.0,0,232,0,74,2,0.625,72,73,0.022333,0.332337,5.0,slowloris
18.27,1328.23,72.71,177,12870,1.0,0.0,0.0,0.0452,0.6893,0.3107,8,118,55,0,2,0.6215,62,101,0.056098,0.515061,9.69,slowloris
88.79,20390.3,229.64,444,101960,1.0,0.0,0.0,0.0,1.0,0.0,0,444,0,142,2,0.6419,146,111,0.011475,0.152973,5.0,slowloris
44.24,6768.48,152.99,432,66092,1.0,0.0,0.0,0.0023,0.8704,0.1296,1,375,56,79,2,0.5162,141,172,0.023291,0.286351,9.76,slowloris
52.51,10446.41,198.93,516,102647,1.0,0.0,0.0,0.0,1.0,0.0,0,516,0,127,2,0.5078,137,156,0.019517,0.257881,9.83,slowloris
63.45,9329.9,147.04,357,52492,1.0,0.0,0.0,0.0,0.8431,0.1569,0,301,56,55,2,0.5294,114,136,0.016724,0.2682,5.63,slowloris
101.91,19840.59,194.69,600,116816,1.0,0.0,0.0,0.0,1.0,0.0,0,600,0,142,2,0.51,154,174,0.010149,0.136463,5.89,slowloris
49.06,6574.6,134.02,381,51060,1.0,0.0,0.0,0.105,0.8504,0.1496,40,296,57,39,2,0.5407,130,152,0.021313,0.283712,7.77,slowloris
52.09,10167.74,195.19,527,102865,1.0,0.0,0.0,0.0,1.0,0.0,0,527,0,134,2,0.5085,136,157,0.019744,0.267375,10.12,slowloris
66.25,9607.14,145.02,340,49308,1.0,0.0,0.0,0.0,0.8294,0.1706,0,282,58,51,2,0.5235,112,135,0.016215,0.27297,5.13,slowloris
93.87,17836.38,190.01,553,105078,1.0,0.0,0.0,0.0,1.0,0.0,0,553,0,133,2,0.5154,137,172,0.010982,0.158501,5.89,slowloris
27.6,4125.79,149.46,229,34226,1.0,0.0,0.0,0.0,0.7511,0.2489,0,172,57,35,2,0.5633,96,101,0.037672,0.400656,8.3,slowloris
99.38,20476.18,206.03,497,102398,1.0,0.0,0.0,0.0,1.0,0.0,0,497,0,134,2,0.5453,139,146,0.010321,0.163807,5.0,slowloris
19.04,1479.1,77.69,186,14450,0.9892,0.0108,0.0,0.0489,0.6957,0.3043,9,123,56,0,4,0.6183,65,105,0.054253,0.444974,9.77,slowloris
92.4,18817.55,203.65,462,94088,1.0,0.0,0.0,0.0,1.0,0.0,0,462,0,132,2,0.5563,127,134,0.011076,0.173344,5.0,slowloris
44.7,6407.04,143.34,432,61921,1.0,0.0,0.0,0.037,0.8657,0.1343,16,366,58,59,2,0.537,131,164,0.023151,0.296353,9.66,slowloris
53.05,10407.85,196.18,523,102601,1.0,0.0,0.0,0.0,1.0,0.0,0,523,0,131,2,0.5067,136,158,0.01941,0.272531,9.86,slowloris
81.83,13259.1,162.02,478,77447,1.0,0.0,0.0,0.0,0.9038,0.0962,0,432,46,89,2,0.5293,137,166,0.013237,0.233861,5.84,slowloris
70.31,14010.31,199.26,610,121551,1.0,0.0,0.0,0.0,1.0,0.0,0,610,0,156,2,0.518,161,183,0.014711,0.218443,8.68,slowloris
