pps,bps,avg_pkt_size,total_packets,total_bytes,tcp_ratio,udp_ratio,icmp_ratio,syn_ratio,synack_ratio,rst_ratio,syn_count,ack_count,rst_count,fin_count,unique_src_ips,top_ip_ratio,unique_dst_ports,unique_src_ports,iat_mean,iat_std,window_duration,label
13.15,713.13,54.24,175,9492,0.0057,0.0,0.9943,1.0,1.0,0.0,1,0,0,0,2,0.68,2,2,0.072595,0.693866,13.31,syn_flood
16.53,978.01,59.15,85,5028,1.0,0.0,0.0,0.8588,0.8588,0.1412,73,36,12,0,2,0.5765,37,39,1.3e-05,1.6e-05,5.14,syn_flood
9.68,574.78,59.36,50,2968,1.0,0.0,0.0,0.78,0.78,0.22,39,16,11,0,2,0.68,17,35,0.031347,0.064742,5.16,syn_flood
14.47,863.03,59.64,73,4354,1.0,0.0,0.0,0.8904,0.8904,0.1096,65,13,8,0,2,0.8219,14,61,0.087563,0.098406,5.05,syn_flood
25.15,1502.74,59.75,126,7528,1.0,0.0,0.0,0.7857,0.7857,0.2143,99,16,27,0,2,0.873,17,111,0.075167,0.09102,5.01,syn_flood
14.93,888.76,59.52,75,4464,1.0,0.0,0.0,0.68,0.6933,0.3067,51,16,23,0,2,0.7867,17,60,0.031568,0.029578,5.02,syn_flood
6.7,401.57,59.94,34,2038,1.0,0.0,0.0,0.6765,0.6765,0.3235,23,1,11,0,2,0.9706,2,34,0.076737,0.084299,5.08,syn_flood
19.53,1166.88,59.76,100,5976,1.0,0.0,0.0,0.75,0.75,0.25,75,12,25,0,2,0.88,13,89,0.089817,0.115874,5.12,syn_flood
19.25,1148.24,59.65,97,5786,1.0,0.0,0.0,0.7423,0.7423,0.2577,72,17,25,0,2,0.8247,18,81,0.060875,0.064459,5.04,syn_flood
23.98,1436.54,59.92,120,7190,1.0,0.0,0.0,0.7083,0.7083,0.2917,85,5,35,0,2,0.9583,6,116,0.051967,0.058884,5.01,syn_flood
21.32,1276.28,59.85,109,6524,1.0,0.0,0.0,0.6881,0.6881,0.3119,75,8,34,0,2,0.9266,9,102,0.047264,0.049851,5.11,syn_flood
13.76,821.92,59.74,70,4182,1.0,0.0,0.0,0.7571,0.7571,0.2429,53,9,17,0,2,0.8714,10,62,0.04875,0.054637,5.09,syn_flood
19.97,1190.98,59.64,100,5964,1.0,0.0,0.0,0.8,0.8,0.2,80,18,20,0,2,0.82,19,83,0.062592,0.062364,5.01,syn_flood
27.55,1650.05,59.88,139,8324,1.0,0.0,0.0,0.7554,0.7554,0.2446,105,8,34,0,2,0.9424,9,132,0.053126,0.076432,5.04,syn_flood
23.26,1386.64,59.63,118,7036,1.0,0.0,0.0,0.678,0.678,0.322,80,22,38,0,2,0.8136,23,97,0.040863,0.052897,5.07,syn_flood
27.3,1628.51,59.65,138,8232,1.0,0.0,0.0,0.7246,0.7246,0.2754,100,24,38,0,2,0.8261,25,115,0.041549,0.051455,5.05,syn_flood
22.86,1369.07,59.88,117,7006,1.0,0.0,0.0,0.7265,0.7265,0.2735,85,7,32,0,2,0.9402,8,111,0.045725,0.047592,5.12,syn_flood
14.35,857.93,59.81,72,4306,1.0,0.0,0.0,0.6944,0.6944,0.3056,50,7,22,0,2,0.9028,8,66,0.03739,0.034489,5.02,syn_flood
17.35,1037.9,59.82,88,5264,1.0,0.0,0.0,0.7727,0.7727,0.2273,68,8,20,0,2,0.9091,9,81,0.074889,0.081479,5.07,syn_flood
17.49,1045.63,59.77,88,5260,1.0,0.0,0.0,0.7159,0.7159,0.2841,63,10,25,0,2,0.8864,11,79,0.044755,0.036453,5.03,syn_flood
15.4,920.94,59.82,77,4606,1.0,0.0,0.0,0.6753,0.6753,0.3247,52,7,25,0,2,0.9091,8,71,0.074008,0.08054,5.0,syn_flood
19.4,1153.33,59.46,97,5768,1.0,0.0,0.0,0.8351,0.8351,0.1649,81,26,16,0,2,0.732,27,72,0.067443,0.066722,5.0,syn_flood
9.79,583.15,59.59,49,2920,1.0,0.0,0.0,0.8571,0.8571,0.1429,42,10,7,0,2,0.7959,11,40,0.063985,0.058567,5.01,syn_flood
29.44,1755.05,59.62,148,8824,1.0,0.0,0.0,0.7973,0.7973,0.2027,118,28,30,0,2,0.8108,29,121,0.071539,0.067661,5.03,syn_flood
32.72,1951.22,59.63,164,9780,1.0,0.0,0.0,0.7073,0.7073,0.2927,116,30,48,0,2,0.8171,31,135,0.025876,0.05144,5.01,syn_flood
17.18,1028.07,59.84,88,5266,1.0,0.0,0.0,0.6818,0.6818,0.3182,60,7,28,0,2,0.9205,8,82,0.037244,0.04021,5.12,syn_flood
12.79,766.52,59.94,64,3836,1.0,0.0,0.0,0.75,0.75,0.25,48,2,16,0,2,0.9688,3,63,0.033703,0.054406,5.0,syn_flood
11.98,716.2,59.8,61,3648,1.0,0.0,0.0,0.918,0.918,0.082,56,6,5,0,2,0.9016,7,56,0.114081,0.088291,5.09,syn_flood
12.57,747.98,59.49,63,3748,1.0,0.0,0.0,0.7619,0.7619,0.2381,48,16,15,0,2,0.746,17,48,0.057174,0.049418,5.01,syn_flood
17.89,1069.74,59.8,90,5382,1.0,0.0,0.0,0.7889,0.7889,0.2111,71,9,19,0,2,0.9,10,82,0.087519,0.082777,5.03,syn_flood
19.38,1158.51,59.77,97,5798,1.0,0.0,0.0,0.7216,0.7216,0.2784,70,11,27,0,2,0.8866,12,87,0.05967,0.050247,5.0,syn_flood
30.42,1819.19,59.8,153,9150,1.0,0.0,0.0,0.7516,0.7516,0.2484,115,15,38,0,2,0.902,16,139,0.049361,0.06574,5.03,syn_flood
