pps,bps,avg_pkt_size,total_packets,total_bytes,tcp_ratio,udp_ratio,icmp_ratio,syn_ratio,synack_ratio,rst_ratio,syn_count,ack_count,rst_count,fin_count,unique_src_ips,top_ip_ratio,unique_dst_ports,unique_src_ports,iat_mean,iat_std,window_duration,label
0.08,4.6,60.0,1,60,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.0,0.0,13.03,udp_flood
41.73,2515.52,60.28,215,12960,0.0,0.9721,0.0279,0.0,0.0,0.0,0,0,0,0,2,0.9721,2,210,0.010388,0.020362,5.15,udp_flood
41.26,2475.74,60.0,208,12480,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,208,0.030168,0.074075,5.04,udp_flood
42.82,2569.16,60.0,215,12900,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,215,0.024813,0.04,5.02,udp_flood
76.81,4608.42,60.0,385,23100,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,383,0.019302,0.034079,5.01,udp_flood
96.95,5817.14,60.0,486,29160,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,486,0.009864,0.030653,5.01,udp_flood
57.89,3473.2,60.0,291,17460,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,291,0.014156,0.044797,5.03,udp_flood
40.72,2443.46,60.0,205,12300,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,205,0.028443,0.043539,5.03,udp_flood
45.74,2744.64,60.0,230,13800,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,230,0.022196,0.043469,5.03,udp_flood
97.77,5868.28,60.02,507,30430,0.0,0.998,0.002,0.0,0.0,0.0,0,0,0,0,2,0.998,2,500,0.014035,0.027513,5.19,udp_flood
86.7,5201.84,60.0,436,26160,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,434,0.012686,0.046141,5.03,udp_flood
42.79,2567.15,60.0,215,12900,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,215,0.021986,0.085101,5.03,udp_flood
43.85,2631.17,60.0,220,13200,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,220,0.026002,0.047477,5.02,udp_flood
42.98,2578.5,60.0,215,12900,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,215,0.024393,0.046786,5.0,udp_flood
38.4,2303.75,60.0,197,11820,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,197,0.031419,0.04845,5.13,udp_flood
40.8,2447.95,60.0,204,12240,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,203,0.026058,0.037533,5.0,udp_flood
107.96,6479.36,60.02,541,32470,0.0,0.9982,0.0018,0.0,0.0,0.0,0,0,0,0,2,0.9982,2,539,0.014227,0.037814,5.01,udp_flood
60.0,3600.24,60.0,303,18180,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,303,0.013422,0.052911,5.05,udp_flood
43.04,2582.5,60.0,216,12960,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,215,0.027501,0.053253,5.02,udp_flood
38.18,2290.9,60.0,191,11460,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,191,0.027599,0.051161,5.0,udp_flood
43.09,2585.27,60.0,218,13080,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,218,0.025869,0.037719,5.06,udp_flood
52.4,3143.88,60.0,264,15840,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,263,0.02147,0.039564,5.04,udp_flood
95.3,5718.24,60.0,479,28740,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,477,0.013402,0.032005,5.03,udp_flood
106.56,6393.47,60.0,533,31980,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,532,0.011266,0.035296,5.0,udp_flood
99.44,5966.49,60.0,498,29880,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,498,0.009585,0.04845,5.01,udp_flood
77.42,4645.35,60.0,388,23280,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,388,0.013649,0.060487,5.01,udp_flood
50.31,3018.87,60.0,252,15120,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,252,0.027372,0.063032,5.01,udp_flood
50.16,3009.71,60.0,251,15060,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,251,0.02374,0.047103,5.0,udp_flood
50.4,3023.87,60.0,254,15240,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,254,0.019726,0.034572,5.04,udp_flood
57.13,3427.77,60.0,286,17160,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,286,0.015672,0.033783,5.01,udp_flood
